frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
65,4,13,557.0,81.0,0.0,0.0,amorphous,1,0,False,1,9
66,3,7,413.0,68.0,34.415,-13.182,amorphous,27,0,True,1,10
66,3,11,634.87,78.86,22.872,-3.142,amorphous,19,1,True,1,10
66,3,12,259.0,90.0,110.664,-17.073,amorphous,9,0,True,1,10
66,3,13,432.0,86.0,-125.0,5.0,amorphous,2,0,True,1,10
67,2,7,447.41,54.82,34.415,-13.182,amorphous,27,1,True,1,10
67,2,11,657.74,75.72,22.872,-3.142,amorphous,19,2,True,1,10
67,2,12,350.0,77.0,100.832,-15.036,amorphous,10,0,True,1,10
67,2,13,211.0,83.0,-173.0,1.0,amorphous,3,0,True,1,10
68,2,7,481.83,41.64,34.415,-13.182,amorphous,27,2,True,1,10
68,2,11,680.62,72.57,22.872,-3.142,amorphous,19,3,True,1,10
68,2,12,329.0,77.0,39.916,-7.518,amorphous,11,0,True,1,10
68,2,13,210.0,84.0,-87.0,1.0,amorphous,4,0,True,1,10
69,2,7,516.24,28.45,34.415,-13.182,amorphous,27,3,True,1,10
69,2,11,703.49,69.43,22.872,-3.142,amorphous,19,4,True,1,10
69,2,12,379.0,74.0,44.958,-5.259,amorphous,12,0,True,1,10
69,2,13,246.0,85.0,-25.5,1.0,amorphous,5,0,True,1,10
70,2,7,550.66,15.27,34.415,-13.182,amorphous,27,4,True,1,10
70,2,11,726.36,66.29,22.872,-3.142,amorphous,19,5,True,1,10
70,2,12,374.0,81.0,19.979,0.87,amorphous,13,0,True,1,10
70,2,13,208.0,86.0,-31.75,1.0,amorphous,6,0,True,1,10
71,3,7,585.07,2.09,34.415,-13.182,amorphous,27,5,True,1,10
71,3,11,612.0,250.0,11.436,12.429,amorphous,20,0,True,1,10
71,3,12,201.0,78.0,-76.51,-1.065,amorphous,14,0,True,1,10
71,3,13,120.0,78.0,-59.875,-3.5,amorphous,7,0,True,1,10
72,2,11,581.0,248.0,-9.782,5.214,amorphous,21,0,True,1,10
72,2,12,95.0,72.0,-91.255,-3.532,amorphous,15,0,True,1,10
72,2,13,60.12,74.5,-59.875,-3.5,amorphous,7,1,True,1,10
73,2,11,594.0,247.0,1.609,2.107,amorphous,22,0,True,1,10
73,2,12,101.0,70.0,-42.628,-2.766,amorphous,16,0,True,1,10
73,2,13,0.25,71.0,-59.875,-3.5,amorphous,7,2,True,1,10
74,2,11,620.0,245.0,13.804,0.054,amorphous,23,0,True,1,10
74,2,12,155.0,65.0,5.686,-3.883,amorphous,17,0,True,1,10
74,2,13,-59.62,67.5,-59.875,-3.5,amorphous,7,3,True,1,10
75,2,11,488.0,249.0,-59.098,2.027,amorphous,24,0,True,1,10
75,2,12,60.0,76.0,-44.657,3.558,amorphous,18,0,True,1,10
75,2,13,-119.5,64.0,-59.875,-3.5,amorphous,7,4,True,1,10
76,1,11,397.0,247.0,-75.049,0.013,amorphous,25,0,True,1,10
76,1,12,15.34,79.56,-44.657,3.558,amorphous,18,1,True,1,10
76,1,13,-179.38,60.5,-59.875,-3.5,amorphous,7,5,True,1,10
77,2,11,351.0,248.0,-60.524,0.507,amorphous,26,0,True,1,10
77,2,12,9.0,84.0,-35.078,3.779,amorphous,19,0,True,1,10
78,2,11,374.0,248.0,-18.762,0.253,amorphous,27,0,True,1,10
78,2,12,9.0,83.0,-17.539,1.39,amorphous,20,0,True,1,10
79,2,11,349.0,249.0,-21.881,0.627,amorphous,28,0,True,1,10
79,2,12,7.0,81.0,-9.77,-0.305,amorphous,21,0,True,1,10
80,1,11,200.0,252.0,-85.441,1.813,amorphous,29,0,True,1,10
